ATLANTA S-Entity
( 0
AP 0
) 0

An 0
aide 0
to 0
former 0
Atlanta S-Entity
Mayor 0
Kasim 0
Reed 0
has 0
been 0
indicted 0
in 0
an 0
ongoing 0
bribery 0
investigation 0
at 0
City B-Entity
Hall E-Entity
. 0

The 0
U.S. S-Entity
Attorney 0
's 0
Office 0
told 0
news 0
outlets 0
that 0
a 0
federal 0
grand 0
jury 0
indicted 0
the 0
Rev. 0
Mitzi 0
Bickers 0
on 0
00 0
counts 0
Thursday 0
morning 0
. 0

She 0
faces 0
charges 0
including 0
bribery 0
, 0
wire 0
fraud 0
, 0
money 0
laundering 0
, 0
and 0
filing 0
false 0
tax 0
returns 0
. 0

Bickers 0
ran 0
the 0
Department 0
of 0
Human 0
Services 0
for 0
three 0
years 0
. 0

Her 0
duties 0
included 0
running 0
city 0
programs 0
to 0
help 0
the 0
homeless 0
and 0
distributing 0
federal 0
and 0
local 0
funding 0
to 0
homeless 0
shelters 0
. 0

Prosecutors 0
say 0
the 0
bribes 0
totaled 0
more 0
than 0
$ 0
0 0
million 0
. 0

The 0
investigation 0
has 0
been 0
ongoing 0
for 0
two 0
years 0
. 0

The 0
city 0
's 0
former 0
chief 0
procurement 0
officer 0
, 0
Adam 0
Smith 0
, 0
along 0
with 0
city 0
contractors 0
Elvin 0
" 0
E.R. 0
" 0
Mitchell 0
Jr. 0
and 0
Charles 0
P. 0
Richards 0
Jr. 0
have 0
pleaded 0
guilty 0
to 0
bribery 0
charges 0
. 0

The 0
Associated 0
Press 0
is 0
an 0
American S-Entity
multinational 0
nonprofit 0
news 0
agency 0
headquartered 0
in 0
New B-Entity
York M-Entity
City E-Entity
. 0

The 0
AP 0
is 0
owned 0
by 0
its 0
contributing 0
newspapers 0
, 0
radio 0
, 0
and 0
television 0
stations 0
in 0
the 0
United B-Entity
States E-Entity
, 0
all 0
of 0
which 0
contribute 0
stories 0
to 0
the 0
AP 0
and 0
use 0
material 0
written 0
by 0
its 0
staff 0
journalists 0
. 0

Veteran 0
Nigerian S-Entity
actress 0
, 0
Joke 0
Silva 0
, 0
has 0
said 0
that 0
horrific 0
stories 0
of 0
sex 0
demands 0
abound 0
in 0
Nollywood S-Entity
. 0

She 0
said 0
this 0
while 0
answering 0
questions 0
from 0
newsmen 0
yesterday 0
after 0
the 0
launch 0
of 0
‘ 0
Disowned’ 0
, 0
a 0
book 0
by 0
Nina 0
Anyianuka 0
about 0
sexual 0
abuse 0
and 0
harassment 0
, 0
at 0
Terra B-Entity
Kulture E-Entity
in 0
Lagos S-Entity
. 0

The 0
00-year 0
- 0
old 0
screen 0
goddess 0
said 0
the 0
pressure 0
on 0
young 0
actresses 0
to 0
offer 0
sexual 0
favours 0
is 0
unbearable 0
. 0

“ 0

Unfortunately 0
, 0
the 0
casting 0
couch 0
issue 0
is 0
alive 0
in 0
Nollywood S-Entity
, 0
” 0
she 0
began 0
. 0

“ 0

Sometimes 0
there 0
is 0
this 0
hunger 0
to 0
get 0
the 0
work 0
. 0

Maybe 0
you 0
’ve 0
gone 0
to 0
several 0
auditions 0
and 0
you 0
have 0
n’t 0
gotten 0
the 0
work 0
, 0
then 0
somebody 0
tells 0
you 0
that 0
it 0
is 0
because 0
you 0
are 0
not 0
doing 0
what 0
you 0
should 0
do 0

that 0
is 0
why 0
you 0
are 0
not 0
getting 0
the 0
work 0
. 0

“ 0

What 0
I 0
say 0
to 0
them 0
is 0
do 0
n’t 0
believe 0
it 0
. 0

By 0
the 0
time 0
the 0
producer 0
, 0
director 0
, 0
production 0
manager 0
or 0
whoever 0
insists 0
on 0
sleeping 0
with 0
you 0
is 0
done 0
, 0
it 0
is 0
very 0
likely 0
you 0
will 0
end 0
up 0
not 0
getting 0
the 0
work 0
. 0

“ 0

Some 0
of 0
the 0
sad 0
stories 0
we 0
hear 0
is 0
that 0
because 0
some 0
people 0
are 0
so 0
desperate 0
, 0
they 0
end 0
up 0
getting 0
passed 0
around 0
. 0

” 0

Drawing 0
an 0
analogy 0
with 0
entrepreneurs 0
, 0
Silva 0
said 0
up 0
and 0
coming 0
actresses 0
should 0
not 0
compromise 0
their 0
dignity 0
to 0
get 0
by 0
. 0

“ 0

There 0
is 0
no 0
need 0
for 0
that 0
, 0
” 0
she 0
said 0
. 0

“ 0

As 0
an 0
entrepreneur 0
, 0
you 0
go 0
round 0
looking 0
for 0
money 0
and 0
you 0
are 0
probably 0
going 0
to 0
get 0
several 0
nos 0
before 0
you 0
get 0
your 0
yes 0
. 0

“ 0

It 0
’s 0
the 0
same 0
with 0
an 0
audition 0
. 0

You 0
must 0
keep 0
your 0
dignity 0
. 0

Find 0
something 0
else 0
to 0
keep 0
body 0
and 0
soul 0
together 0
. 0

“ 0

That 0
is 0
why 0
you 0
hear 0
that 0
abroad 0
people 0
wait 0
tables 0
or 0
work 0
in 0
restaurants 0
because 0
they 0
need 0
something 0
to 0
keep 0
body 0
and 0
soul 0
together 0
until 0
that 0
break 0
happens 0
. 0

“ 0

You 0
should 0
be 0
proud 0
as 0
long 0
as 0
you 0
are 0
earning 0
honest 0
money 0
. 0

If 0
possible 0
train 0
yourself 0
in 0
audition 0
skills 0
. 0

” 0

She 0
added 0
that 0
having 0
more 0
women 0
in 0
positions 0
of 0
power 0
and 0
authority 0
in 0
Nollywood S-Entity
could 0
stem 0
the 0
tide 0
. 0

“ 0

We 0
need 0
more 0
women 0
producers 0
, 0
more 0
women 0
scriptwriters 0
and 0
more 0
women 0
stories 0
so 0
that 0
we 0
can 0
then 0
absorb 0
a 0
lot 0
of 0
women 0
in 0
the 0
industry 0
, 0
” 0
she 0
concluded 0
. 0

Hampshire S-Entity
racing 0
driver 0
Rob 0
Collard 0
has 0
set 0
his 0
goals 0
high 0
ahead 0
of 0
the 0
new 0
British S-Entity
Touring 0
Car 0
season 0
. 0

Championship 0
Collard 0
is 0
currently 0
driving 0
for 0
West 0
Surrey 0
Racing 0
( 0
WSR 0
) 0
, 0
behind 0
the 0
wheel 0
of 0
a 0
BMW 0
000i 0
M 0
Sport 0
, 0
writes 0
Brad 0
Halcrow 0
. 0

He 0
first 0
drove 0
for 0
WSR 0
in 0
0000 0
, 0
a 0
team 0
which 0
he 0
has 0
claimed 0
00 0
of 0
his 0
00 0
wins 0
with 0
and 0
took 0
the 0
Independents 0
championship 0
in 0
0000 0
. 0

Collard 0
won 0
one 0
race 0
last 0
season 0
, 0
in 0
his 0
home 0
race 0
at 0
Thruxton S-Entity
, 0
near 0
Andover S-Entity
, 0
which 0
will 0
again 0
be 0
hosting 0
the 0
third 0
of 0
the 0
ten 0
races 0
when 0
the 0
BTCC 0
returns 0
to 0
Hampshire S-Entity
on 0
the 0
weekend 0
of 0
May 0
00/00 0
. 0

When 0
asked 0
about 0
his 0
aims 0
for 0
the 0
new 0
season 0
, 0
which 0
will 0
start 0
on 0
April 0
0/0 0
at 0
Brands B-Entity
Hatch E-Entity
, 0
Collard 0
responded 0
positively 0
, 0
saying 0
his 0
aim 0
is 0
“ 0
to 0
win 0
as 0
many 0
races 0
as 0
possible 0
and 0
help 0
BMW 0
win 0
the 0
team 0
and 0
drivers’ 0
championships 0
. 0

” 0

WSR 0
won 0
the 0
manufacturers’ 0
championship 0
last 0
season 0
so 0
retaining 0
it 0
is 0
the 0
primary 0
goal 0
for 0
the 0
team 0
this 0
year 0
. 0

“ 0

To 0
continue 0
to 0
work 0
together 0
to 0
build 0
a 0
championship 0
campaign 0
to 0
try 0
and 0
retain 0
the 0
team 0
and 0
manufacturers’ 0
championships 0
for 0
the 0
third 0
year 0
running 0
, 0
” 0
says 0
Collard 0
. 0

The 0
00-year 0
- 0
old 0
will 0
once 0
again 0
partner 0
his 0
BMW 0
teammates 0
Colin 0
Turkington 0
and 0
Andrew 0
Jordan 0
, 0
both 0
of 0
whom 0
have 0
won 0
the 0
championship 0
before 0
. 0

Turkington 0
and 0
Collard 0
gathered 0
00 0
podiums 0
between 0
them 0
last 0
season 0
, 0
with 0
Turkington 0
finishing 0
second 0
and 0
Collard 0
fifth 0
overall 0
. 0

“ 0

It 0
’s 0
a 0
fantastic 0
feeling 0
racing 0
in 0
the 0
BTCC 0
at 0
a 0
competitive 0
level 0
, 0
” 0
he 0
continued 0
. 0

“ 0

The 0
BTCC 0
is 0
the 0
absolute 0
shop 0
window 0
for 0
any 0
driver 0
and 0
it 0
’s 0
a 0
pleasure 0
to 0
work 0
with 0
such 0
experienced 0
drivers 0
as 0
Colin 0
Turkington 0
and 0
Andrew 0
Jordan 0
. 0

” 0

He 0
was 0
ruled 0
out 0
of 0
title 0
contention 0
last 0
season 0
after 0
a 0
crash 0
in 0
